﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0wpHo9ufyiNdbnr9lIe0B8","Enter the Unseen","Steven Goldmund","Deep Below","1","2","232385","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1uSaD0JKNb5o8Wv29zULwf","Heavenly","Elise Magnefold","Heavenly","1","1","179014","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1SJ4D06KVt9JygZ68vyjkj","Let Her Go","Amaranth Cove","All Around Us","1","2","183022","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4p7LooYAQniOpcNLunFnF3","Gone","Gavin Luke","Breath of Life","1","3","179166","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2k0lAgtTw0Ac3P1uDd2QJ2","Thinking Like The Flowers","Rand Aldo","Immerse","1","4","241716","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:0TA4KpQK657wXKvW3X0Oxf","Soothe","Alan Ellis","All Behind Us","1","2","150125","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:53sNuDhuyhtVTPNXbk4dEN","Mind-Drift","Steven Goldmund","Drift Off","1","2","240000","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5I3JZ3zvxKQMdp9rEcGkiR","Pads of Redemption","Masala Roo","Pads of Redemption","1","1","168536","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1mYTROYR85RaiaVEtQztis","Hibernation","Hushed","Hibernation","1","1","216678","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:17Wjmh3nZzAywevzFHqJnx","Astral Therapy","Primer Dia","Floating, Always","1","4","137172","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:6tLFPu4tSmS5LccfUNtbN6","Beyond Barricades","Claes Nilsson","The Sleeper","1","2","168857","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:3Wybg2sLkq2ZrA364KfQfz","Soul Lotion","Cadet de l'espace","Soul Lotion","1","1","210000","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:45HRj3YdVgAOLbkSRiJ4l3","Floriscope","Floriscope","Floriscope","1","1","175082","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:3Se2ifaSm69Np4OtyaNNKa","Endymion","Réka Ioescu","Endymion","1","1","152230","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4dnjEaI4F2OigWbi95JIDm","Between Moments","Rand Aldo","Tomorrow Will Save Us","1","3","116500","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7x8ILiGyZAFW3F0rPUPYxm","October","Regina Mira","October","1","2","108770","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:42CQUucCi6h2gHB5BQfSbb","Owls","Ebb & Flod","Moonrise","1","2","146483","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5cpH1u4FeSQg3mZ7dRb1mj","Demi Sec","Sub-City Keys","Demi Sec","1","1","175934","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2DTi3hxKgiIJE1M9zwWvQB","No Struggle - No Progress","Jonathan Coffey","Truth Seeker","1","3","164675","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1b8hMNOq787OU4lAchJozZ","Dream 1 (before the wind blows it all away) - Pt. 1","Max Richter","Sleep","1","1","153101","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:0eQZinXiAeZ75SRcJwuweI","Montauk","Martin Lindgaarden","Montauk","1","1","178974","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:6cFTdXS8OY0Z5009mk3di8","Himalaya","Joseph McGrahl","Time","1","3","158949","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7KWhxUrK9ofPTn3ItWceR5","For the Love of Love","Novo Talos","For the Love of Love","1","1","143251","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5ZMpJvJRpTs8jPCFDbUqfM","Tell Me And I'll Forget","Rand Aldo","Time Is But A Wellspring","1","1","172569","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5Lb49aaOwrA5OCWz2yVZQp","Night In Burma","Joseph Beg","Gentle Arrival","1","4","208938","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1aa3A3F6b5FZFtXAhtrybK","Time Travel","Antologie","Time Travel","1","1","184642","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5l5vMjzs7XQ7DJfyWRuWed","Momento","Primer Dia","Temple Within","1","3","125538","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:75D9esOK7ASfcREQAvbtql","Magica","Dream Runner","Magica","1","1","177214","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:3ruGcz1vh9wdcLJ7IF4ek2","Dormiveglia","Benjamin Gustafsson","Presomnal","1","4","161020","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2ZOcIBtmGkwQeL1ZQxhCEy","Ava","Kasper Schill","Ava","1","1","168182","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:6XDyO1ycRcaRfqLgXEDcQZ","Reverie","LUCHS","Chasing Cloud Nine","1","1","192850","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:6RMjZgsE9IcQZqubTzLtDs","It Ends with Us","Steve Mokwebe","It Ends with Us","1","1","130191","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2gCd69plASs1CIhfArHlPQ","Floral Hymn","Echo Ark","Echo Ark","1","1","215750","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2whahz2VQOrE33jKPo5Wee","Still Now","MVS","Still Now","1","1","178932","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:6LnG3cueIxb0SpZP3AfdUw","Triangle","Moon Laika","Triangle","1","1","106315","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1LQsAMbRfl2644biYjwHhz","Sway","Józef Gatysik","Sway","1","1","162448","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7LnU4vflcZ8fyuFaVxGtuN","The Book of Jen","Tedosio","The Book of Jen","1","1","167882","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:0CQskMydQ8AhtKhJUAolvE","Tallis One","Samuel Lindon","Tallis One","1","1","117401","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:02iKyyvlc3gZ8jLY04Mva1","Falling Forward","Trond Asker","Falling Forward","1","1","121750","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2p1PsXzDyK5vpFQueMlOmD","Mandala","Ivy Rue","Mandala","1","3","234242","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1dzc28LyRoVaw9FHYcsVx7","Paper Thin Reality","Ave Air","Paper Thin Reality","1","1","214073","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1jFwy6IBvTI01kzh9wSSV6","Interstatus","Steven Goldmund","Deep Below","1","3","245655","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:00ak5WSrRYU0oPhh1oGr9f","A Fighting Chance","Trevor Kowalski","Degrees Of Separation","1","3","190684","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5OR4eaaENBzYsij6ZZGem6","Daenerys","Primer Dia","Shaman Dreams","1","1","185000","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:33WEwYZVLUtuYOHSEtVBlg","Quarantine","Justin Hurwitz","First Man (Original Motion Picture Soundtrack)","1","34","135106","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1hYEnW3hjGnnvTuEUlAD6h","Introspective","Josie O'Connor","Introspective","1","1","174375","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5FRXHIqQWQwIjy736eeESN","Endless Dreams","Vilhelm Brandt","Endless Dreams","1","1","187983","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:049dXA0tNzvTYVIHILMY4j","The Gift","Gavin Luke","In This Moment","1","5","158574","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7uLFo7WHyKjEKi5Rm6qe2o","The Garden's Light","Trevor Kowalski","New Ambitions","1","3","193792","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5nMsoz257d3AbY8O8FC4Jx","Loveliness","Jean Petri","Moments of Tomorrow","1","1","110434","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:49LQIdr4hToVH3JdvzTQYC","Soft Upon Your Face","Ave Air","Paper Thin Reality","1","4","194836","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1BpAKG4TNBqkgtv33pQySC","The Sleeper","Claes Nilsson","The Sleeper","1","1","159071","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:14BDuD5GagBNTMrHekdBzM","Golden Chant","Joseph Beg","Gentle Arrival","1","3","310367","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2pypBNUUzViaP7Dswi9zpF","A Clear Mind","Julius Aston","A Clear Mind","1","1","173696","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5S7nfUHhiA3kfmyMPvhV6V","Divine Structure","Charlotte Funke","Episode","1","2","227874","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7Mr1C9U2R0bSyviqQ9IYuV","Breathe","Dilaz","In The Deep","1","4","216500","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1nPTaQHgrjKhSGb5ILEV47","Atoms","Ana Olgica","Atoms","1","1","139804","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:07tUhErHb7K8bdOcwyvbuK","Unrequited","Josef Passagio","Unrequited","1","1","126229","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1nqq9YCuHGnk9YabcqH1bp","The Calm","Dream Runner","Voices of the Forest","1","4","157428","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:3FBk3DcCOC5gkhX50rbHbC","Magnetic","Strange Imagining","Magnetic","1","1","172456","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4t1GRQrFiv50HmjYbUXooo","Solitude Island","Calm Shores","Fall Of A Raindrop","1","2","236529","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5inRFwMMBpjpHzKHT2f2fB","Only If","Limestone Quarry","Only If","1","1","140850","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4X7fW4opz287E8BXBMjVJI","Meadow","Sebastian Winskog","Meadow / Forests","1","1","163976","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1e3JUGxqyfe94XBFnWdP11","Talisman Stallion","Bela Nemeth","Talisman Stallion","1","1","120549","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7gpL5CorPuYBthvZkPPFGd","Glitching","Solvekin","Glitching","1","1","138798","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5NRhAVJrW5o4FK1OKKgbgQ","Lakeshore","Wolfgang Snow","Frostbite","1","2","150701","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:504NLPDUBRylbZUUQR97XX","The Watchtower","Sigimund","The Watchtower","1","1","205577","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:44rpvXgWhgUWmLUH12Nu58","Anona","Otto Totland","The Lost","1","4","207053","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:0ntmnrnM7BqzocwsJeT2PK","Anasazi","Morongo","Anasazi","1","1","219469","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:53gdJHHgCDSvJg5n3pNL0R","Divine","Amaranth Cove","All Around Us","1","3","194096","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1kbtQzzN5z8KjFZXfOH2H9","Crystal Clear","Johannes Bornlöf","The Road To Meteora","1","2","127200","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:01T3AjynqSMVfiAQCAfrKJ","Evolutionistically Yours","Józef Gatysik","Evolutionistically Yours","1","1","160897","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5zRjeZL6xjT6f7c8dkHqrB","La","Nils Frahm","Screws","1","7","190405","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:3yMTAa0lNBMjF4rwoWRSRp","Dealings","Jonatan Mollberg","Last Days Of July","1","2","175662","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4TxfZzrq0dH2Wmfl4dAjN9","Ella's Lullaby","Enno Aare","Enno Aare","1","1","220384","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:30VnmNoXmeNMlDR6MxLP5U","Threads","Ebb & Flod","Moonrise","1","3","192793","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5JVtVJFun3pgNdDlUQlkOm","Introspection (Edit)","Laraaji","Introspection (Edit)","1","1","155411","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7jSQaXLzpLHjSQTev2krvT","Nemo Egg (Main Title)","Thomas Newman","Finding Nemo (Original Motion Picture Soundtrack)","1","3","76133","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7Bp4flLTs8PX9oP620atQF","Floating, Always","Primer Dia","Floating, Always","1","3","184230","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:3OSr4tLBco2Me4WrexyoQR","Connection","Carl Borg","Tasteology Soundtrack","1","6","69818","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5EdblWf0gHqPPVhjQSLyLT","Vissel","José González","Vestiges & Claws","1","8","224773","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1F7vUCER63VfNzvZKTi2pn","Overture (For Other Halfs)","Brian McBride","When the Detail Lost Its Freedom","1","1","398120","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2FcAtBp8X5Du0uumXpCYGD","Floating, Floating","August Wilhelmsson","Transfixed","1","5","120000","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4ZqmGnpiF9yLu7zEsf7m1y","Les Chevaux","Matt van Stern","Simplistique","1","2","217500","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:3kgu8TFddPdy6gSJaQSeij","Solitude","Daigo Hanada","Ichiru","1","10","166830","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1vNNRQ0CHwdr5Q68T05sNF","Mauve (Fughetta)","Arden Forest","Sapphire","1","4","147530","spotify:user:","2019-01-10T22:30:48Z"
